result,correction
-1,"ตำรา,คุณปู่,ไม่เชื่อ,ต้องตาม,ดู"
-1,"หรั่ง,เล่น,งี้,รอบ,อัด,ตอน,ATO"
1,"ปู่,ชอบ,เล่น,รถไฟ,เหาะ,ลาก,ขึ้นไป,รอ,เม่า,นั่ง,แหม,ตื่นเต้น"
-1,"โดด,แบบนี้,กด,กิน,ตับ,ฟรี,อีกแล้ว,ตับ,ตับ,ตับ"
1,"GapWave,5"
1,"รอ,ลาก,ไม่ไหว,ล็อก,กำไร,ดีกว่า"
1,"ไม่ได้,ติดตาม,ข่าว,ข่าวดี,บวก,เชียว"
1,"ฟิส,เอ้า,ลุค,ไทย,มั้ง,หรั่ง,รัก,ไทยหลง,ไทย,มากขึ้น"
-1,"เปน,พี่,ไหม,จุก"
1,"เดี๋ยว,กอง,ขาย,ดิ"
-1,gap
-1,"เรื่อง,จ่าย,เงิน,ค่า,อินเตอร์เน็ต,เดือน,เมษายน,หัก,เครดิต,AMEX,ยอดเงิน,บาท,เดือน,พค,AIS,โทร,แจ้ง,ว่าไม่ได้,ยอด,นี้,โทร,AMEX,บัตร,เค้า,แจ้ง,ยอด,นี้,หัก,AIS,เรียบร้อย,โทร,ถาม,AIS,โทร,รอบ,คน,ไม่ได้,คำตอบ,เงิน,คืน,AMEX,เค้า,บัตร,แจ้ง,อี,จ่าย,AIS,ตามมา,AIS,ไม่รับผิดชอบ,ตามหา,ยอด,ทำได้,จ่าย,ยอด,นี้,ซ้ำ,อี,กรอบ,อ่า,จ่าย,แล้,วจะ,จ่าย,ซ้ำ,จ่าย,ซาก,จ่าย,เดือน,พค,ไม่ได้,จ่าย,ยอด,ซ้ำ,เดือน,เมษา,จ่าย,สุดท้าย,อินเตอร์เน็ต,ตัด,ทำงาน,ไม่ได้,รับผิดชอบ,เรื่อง,นี้,ยกเลิก,เจ้า,จ่าย,ซ้ำ,อยู่ดี,ซวย"
1,"สวัสดี,สมาร์ท,ปฐวี,ยินดี,ดูแล,Vickims,ไม่ต้อง,เป็นกังวล,เบื้องต้น,ข้อมูล,ไมค์,ทราบ,ข้อมูล,ดำเนินการ,ตรวจสอบ,ข้อความ,กรกฎาคม,เวลา"
1,"ปกติ,AWN,ให้บริการ,Fibre"
1,"การเขียน,AIS,อันนี้,ปรกติ"
1,"าท,หัก,VAT,ยอด,แพ็คเกจ,าท,ระบบ,Fiber,ค่าใช้จ่าย,ล่วงหน้า,บริการ,ที่จะ,ค่าใช้จ่าย,ย้อนหลัง,ระบบ,Fiber,ค่าใช้จ่าย,คงที่,ค่าใช้จ่าย,ที่จะ,ค่าใช้จ่าย,ค่าใช้จ่าย,ปริมาณ,การใช้งาน,ข้อความ,กรกฎาคม,เวลา"
1,"ปกติ,นะคะ,จ่าย,My,AIS,Statement,AIS,PostpaidEService"
-1,"ไม่แน่,ตัด,ยอด,บัญชี,ผิดคน,ไม่มี,ข้อมูล,ข้อความ,กรกฎาคม,เวลา"
1,"ช๊อป,เจ้าหน้าที่,reprint,ใบเสร็จ,ใบ,แจ้ง,ค่าบริการ,เทียบ,ใบเสร็จ,นี้,บแจ่าย,ใบ,แจ้ง,ใบเสร็จ,ระบุ,เลขที่,ใบ,แจ้ง,ไม่ยาก,เบื้องต้น,บริการ,จ่าย,เข้าไป,เจ้าหน้าที่,เจอ,ยอด,ระบบ,adjust,เป็นยอด,advanced,เข้าไป,account"
-1,"สงสัย,AMEX,AMEX,เหตุการณ์,แบบนี้,ผม,ผม,ไล่,AMEX,คน,หัก,เงิน,ว่าส่งไป,ไม,โทษ,AMEX,บอ,ชั้น,ไม่เกี่ยว,ชั้น,น่,AMEX,บริการ,เยี่ยมยอด"
1,"สั่งสินค้า,ราคา,สกุล,เยน,จ่าย,paypal,แปลง,ค่าเงิน,ไหม,ท่าน,ใด,ซื้อ,คำแนะนำ"
1,"ระบบ,แปลง"
1,"ขอบคุณ,สมมุติ,ราคา,เยน,เลือก,จ่าย,PayPal,ระบบ,คำนวณ,ค่าเงินบาท,ค่าเงิน,เยน,ไหม,ปล,คน,รู้จัก,ห่าง,สั่ง,ไม่รู้,ภาษา,นี้,ภาษา,ถาม,ฝาก,สั่ง,ค่า,สั่ง,ขอบคุณ,ล่วงหน้า"
1,"ระบบ,ตัวเลข,เป๊ะ,ไม่แน่ใจ,คน,บ่นว่า,สั่งของ,Ebay,ระบบ,Ebay,แปลง,ค่าเงิน,ดอล,บาท,จ่าย,Paypal,โดน,ตัด,ตัว,เลขที่,ไม่ได้,หรอก,จุดทศนิยม"
1,"ขอบคุณ,กระจ่าง,เเต่,ระบุ,ประเทศ,ลอง,สั่ง,ดู,คน,สั่ง,สั่ง,ญี่ปุ่น,โดยตรง,หลายครั้ง,รุ้เว็ป,ไหม"
-1,"สั่ง,ลอง,อ่าน,แปล,ดู,เจ้า,ไทย,จริง ๆ"
1,ขอบคุณ
1,"แปลง,เยน,บาท,ตัด,บัตร,บาท,วิธี,นี้,รู้,ตัด,บัตร,ตัด,บัตร,เยน,บัตร,แปลง,เยน,บาท,อีกที,รู้,ยอด,statement,บัตร,Ktc,travel,card,แลกเงิน,ใส่,บัตร,ยอด,ซื้อ,PayPal,ตัด,เงิน,สกุล"
-1,"ค่าแรง,เงิน,จ่าย,ข้าวของ,แพง,ถาม,เงิน,ค่าแรง,เพิ่มขึ้น,ใช้จ่าย,ข้าวของ,ขึ้นราคา,ตามมา,ไหม,ไม่พอ,แย่,ข้าวของ,ขึ้นราคา,เดิม,ข้าว,ของขึ้น,ตอบ,โพล,ดู,โพล"
-1,"คน,กิน,เงินเดือน,โดน,เงินเดือน,เท่าเดิม,ซื้อของ,แพง,เงินเดือน,ค่า,ลดลง"
-1,"เงินเฟ้อ,แม่ค้า,พ่อค้า,ราคา,อาหาร,ลิบ"
-1,"ควบคุมราคา,ข้าวของเครื่องใช้,เป็นประโยชน์,ควบคุมราคา,ข้าวของเครื่องใช้,ไม่ได้,คน,ลำบาก,ข้อ"
0,"ข้อความ,กรกฎาคม,เวลา"
-1,"เงินเดือน,รับเงิน,เท่าเดิม,เงินเฟ้อ,เค,ปะ"
1,"โปร,นี้,แอ,ปกติ,บัตร,นิสิต,กด,เงินได้,scb,อยุ่,อยากรู้,ว้า,ทำ,แอ,บอ,เรียนเชิญ,แล้,วจะ,รู้,เชิญ"
1,"เรียน,สมาชิก,หมายเลข,4,สำหรับ,การเปลี่ยนแปลง,ประเภท,บัตร,เดบิต,ลูกค้า,ท่าน,ต้องการ,เรียนเชิญ,ธนาคาร,เรียน,ทราบ,ชื่อสกุล,เบอร์,โทรศัพท์มือถือ,ช่องทาง,ไมค์,ประสานงาน,เจ้าหน้าที่,ตรวจสอบ,ข้อมูล,ท่าน,โดยตรง,SCB,ยินดี,ดูแล"
1,"ตรวจสอบ,ผม,ไหม,ผม,เชิญ,ขอบคุณ"
1,"เรียน,สมาชิก,หมายเลข,สะดวก,แจ้ง,ชื่อสกุล,หมายเลข,โทร,ศัพทื,แจ้ง,ไมค์,ประสานงาน,เจ้าหน้าที่,ตรวจสอบ,SCB,โอกาส,ดูแล,นะคะ,ฤดูฝน,ดูแล,รักษาสุขภาพ,นะคะ"
1,"แจ้ง,ข้อมูล,เรียบร้อย,ครับผม"
-1,"ไม่ได้,ค่าธรรมเนียม,บาท,คืน"
-1,"ล่อ,ซื้อ,เชียร์,ตอนนี้"
1,"ราคา,นี้,กล้า,ลอง"
1,"คุม,ดี"
0,"Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
-1,"เม่า,ชั้น,ใต้ถุน,เพชร,เปรียบกับ,ก้อนกรวด,Spoil,คลิก,ดู,ข้อความ,ที่ซ่อน"
1,"ทำ,ไม่เอา,เที่ยบ,KTC,BTS,AOT,BEM,หละ,ความรู้"
-1,กลับมา
-1,"ราคา,นี้,เจ้า,ทยอย,หา,ทางลง,ดัน,สัก,กี่,น้ำ"
1,"รอ,ต่ำ,คุย"
1,"ประสบการณ์,ติด,9,ตอนนี้,อย่า,ซื้อ,เก็งกำไร,5,ึง,6,ซื้อ,ราคา,ไม่มี,ท่าที,9,หวัง,กำไร,เอาเลย,จันทร์,นี้,ตก,5,ข้อความ,กรกฎาคม,เวลา"
1,"trc,จอง,ซื้อ,หุ้น,ราคา,หุ้น,2,บาท,กรณี,ที่จะ,จอง,ซื้อ,หุ้น,ไม่ต้อง,การนำ,เงิน,เข้ามา,ราคา,กระดาน,2,บาท,ขาย,เงิน,จอง,ซื้อ,หุ้น,ได้ส่วน,2,2,บาท,หุ้น,trc,สิทธิ,ซื้อ,หุ้น,trc,ทางเลือก,ขาย,หุ้น,พอร์ต,trc,แล้วไป,จอง,สิทธิ,trc,ได้ส่วน,2,บาท,ลด,ต้นทุน,หุ้น,พอร์ต,ทำความเข้าใจ,หุ้น,พอร์ต,trc,จอง,ซื้อ,หุ้น,trc,พอร์ต,อย่างเร็ว,กลางเดือน,หน้า,สิงหาคม,2,ขาย,หุ้น,พอร์ต,trc,เต็ม,จำนวน,ได้เงิน,4,บาท,จอง,ซื้อ,หุ้น,สิทธิ,trc,2,บาท,เงิน,4,2,บาท,จอง,สิทธิ,หุ้น,2,trc,ทำความเข้าใจ,จอง,สิทธิ,จัดสรร,กรณี,จำนวน,สละ,สิทธิ,จำนวน,จอง,เกิสิ,ทธิ,จัดสรร,สัดส่วน,สิทธิ,หมายถึง,กรณี,จำนวน,สละ,สิ,ทธื,จำนวน,จอง,สิทธิ,จัดสรร,จอง,จ่าย,ค่า,หุ้น,เต็ม,จำนวน,จอง,สิทธิ,หมายถึง,trc,เต็ม,จำนวน,ผม,trc,สิทธิ,ซื้อ,หุ้น,ผม,เลือก,ข้อ,ได้ส่วน,จำนวน,หุ้น,คืน,เต็ม,จำนวน,ข้อ,ผม,ความเสี่ยง,ได้ส่วน,จอง,สิทธิ,ผม,ทำ,ความปรารถนาดี"
-1,"ผม,กลัว,งบ,ไตรมาส,ออกมา,หงายหลัง,เงิบ,พฤฒ,ติ,กรรม,เร่งรีบ,ทำ,งบ,น่าเป็นห่วง,luck,me,demco,สำรอง,ฐาน,กังหันลม,รับผิดชอบ,ซ่อม,ต่อเนื่อง,รู้จัก,กี่,รอบ,จบ,ผบ,ชอบ,พูดความจริง"
1,"ประเด็น,ผม,trc,มือ,สิทธิ,ซื้อ,หุ้น,สา,เห,ตุๆ,ขาย,หุ้น,พอร์ต,ตัวเรา,สิทธิ,ซื้อ,หุ้น,ความเห็น,ผม,ไม่ได้,กรณี,ความกลัว,ร้อยแปด,พัน,ขาย,หุ้น,พอร์ต,สิทธิ,ซื้อ,หุ้น,ทุน,ความปรารถนาดี"
1,ขอบคุณ
1,"สมุดบัญชี,เล่ม,นึง,แอพ,not,available,เล่ม,ปกติ,นะคะ,แบบนี้,ลบ,เข้าไป,แอพ,หาย"
1,"ติดต่อ,ธนาคาร,เดา,บัญชี,ไม่มี,การเคลื่อนไหว,ทำ,ไม่ได้,สมุดบัญชี,ติดต่อ,ธนาคาร,ปลดล็อก"
0,Cr
1,ขาย
-1,"อ่าว,เลิก,กังวล,เหรอ"
1,"เจ้า,กังวล,ตอนนี้,คลายกังวล"
-1,"กังวล,เหมือน,ไบ,โพ,ล่า,คับ,เด่,วดี,เด่,ร้าย"
-1,"ลาก,ทุบ,อี,กรอบ,ทิ้ง,อีกที"
1,"ซื้อ,ตอนนี้,ดี,ไม่ดี"
1,google
1,ลุก
1,"เต็ม,มูลค่า,สละ,เรือ"
1,"ดี,เรือ,หนัก"
1,"รวย,รวย,รวย"
1,"พี่,ก้อง,ขาย,หมู,555"
1,"กอง,เก็บของ,เก็บของ,เม่า,คัตลอส,เม่า,ขาย,SET"
-1,"กอง,หวง,แพง,ไม่มีใคร,เพื่อน,เม่า,ระวัง"
-1,"เก้าอี้ดนตรี,ลุก,ทีหลัง,จ่าย,รอ,บวง"
1,"เป็นคุณ,ดีกว่า,พื้นฐาน,มีความรู้,ทั้งสอง,เลือก,ทำ,ย่าง,เลือก,เพราะอะไร"
1,"หุ้,รดี,คล่อง"
1,"หุ้น,ปันผล"
1,"มีความรู้,เชี่ยวชาญ,บริหาร,ความเสี่ยง,เก่ง,ย้ำ,ประโยค,นี้,รอบ,ผม,เลือก,ทรัพย์สิน,มีโอกาส,ผลตอบแทน,โจทย์,พี่,จขกท,หุ้น,เติบโต"
1,ดิน
